Date_Time,Date,Time,Coal,Gas,Hydro,Nuclear,Other,Wind,Total,Renewable,NonRenewable,Fossil_Fuel,Clean,Pct_Renew,Pct_Clean,Total_Carbon,Carbon_per_MWh,Carbon_per_kWh
2016-10-30T14:00:00Z,2016-10-30,14:00:00,9024.3,979.3,274.5,2453.9,305.70000000000005,2066,15103.699999999999,2646.2,12457.499999999998,10003.599999999999,5100.1,17.520210279600363,33.767222601084505,9066925.96,600.3115766335402,0.6003115766335402
2016-10-30T15:00:00Z,2016-10-30,15:00:00,9003.8,1198.9,274.5,2453.9,314.1,2309.8,15555,2898.4,12656.599999999999,10202.699999999999,5352.3,18.633236901317904,34.408871745419475,9136523.02,587.3688858887817,0.5873688858887818
2016-10-30T16:00:00Z,2016-10-30,16:00:00,9027.1,1217.8,238.5,2453.9,318.7,2458.4,15714.4,3015.6000000000004,12698.8,10244.9,5469.5,19.190042254238154,34.805655958865756,9166589.74,583.3241956422136,0.5833241956422136
2016-10-30T17:00:00Z,2016-10-30,17:00:00,9029.8,1293.5,238.5,2453.9,282.1,2202.5,15500.3,2723.1,12777.199999999999,10323.3,5177,17.568047070056707,33.39935356089882,9199962.979999999,593.5345109449494,0.5935345109449494
2016-10-30T18:00:00Z,2016-10-30,18:00:00,9023.8,1309.4,238.5,2453.9,226.5,1724.8,14976.899999999998,2189.8,12787.099999999999,10333.199999999999,4643.700000000001,14.621183288931624,31.00574885323399,9200664.32,614.3236798002258,0.6143236798002258
2016-10-30T19:00:00Z,2016-10-30,19:00:00,9019.8,1434.4,238.5,2453.9,208.8,1348.9,14704.299999999997,1796.2,12908.099999999999,10454.199999999999,4250.1,12.215474385043832,28.903790047809153,9247646.919999998,628.9076610243262,0.6289076610243263
2016-10-30T20:00:00Z,2016-10-30,20:00:00,8994,1369.9,238.5,2391.6,208.8,1140,14342.8,1587.3,12755.5,10363.9,3978.8999999999996,11.066876760465181,27.741445185040575,9196637.74,641.2023970215022,0.6412023970215022
2016-10-30T21:00:00Z,2016-10-30,21:00:00,9013.6,1354.5,238.5,2211.1,208.8,1070.5,14097,1517.8,12579.2,10368.1,3728.8999999999996,10.766829821947931,26.451727317869043,9209203.86,653.2740200042562,0.6532740200042562
2016-10-30T22:00:00Z,2016-10-30,22:00:00,8993.8,1054.1,238.5,2162.2,205.8,1010.3,13664.699999999997,1454.6,12210.099999999999,10047.9,3616.7999999999997,10.64494646790636,26.46819908230697,9068041.34,663.6107152004802,0.6636107152004802
2016-10-30T23:00:00Z,2016-10-30,23:00:00,8966.8,1051.4,238.5,2162.2,197.89999999999998,933.2,13549.999999999998,1369.6,12180.399999999998,10018.199999999999,3531.7999999999997,10.107749077490775,26.0649446494465,9041007.32,667.2330125461256,0.6672330125461255
2016-10-31T00:00:00Z,2016-10-31,00:00:00,8947.8,1011.3,238.5,2156.9,192,825.1,13371.599999999999,1255.6,12115.999999999998,9959.099999999999,3412.5,9.390050554907416,25.520506147357086,9006451.26,673.5507538364893,0.6735507538364893
